#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 05 12 50 101  9.7 12.1  2.10  6.25  4.73 999 1015.7  25.1  26.9  22.6 99.0 99.00
2011 01 05 13 50  87  7.7  9.8  1.87  5.56  4.76 999 1016.0  25.5  26.9  22.1 99.0 99.00
2011 01 05 14 50  87  6.3  8.0  1.80  5.56  4.85 999 1015.9  25.9  26.9  22.4 99.0 99.00
2011 01 05 15 50  80  8.4 10.1  1.64  6.67  4.67 999 1015.3  26.4  26.9  22.0 99.0 99.00
2011 01 05 16 50 133  8.3 10.5  1.72  5.88  4.85 999 1014.9  25.0  26.9  22.5 99.0 99.00
2011 01 05 17 50  75  8.3 10.1  1.74  6.25  4.79 999 1013.9  26.8  26.9  21.7 99.0 99.00
2011 01 05 18 50  88  6.9  9.1  1.89  5.88  4.99 999 1013.4  25.9  26.9  22.2 99.0 99.00
2011 01 05 19 50  67  9.4 11.3  1.71  5.56  4.67 999 1013.1  26.6  26.9  21.9 99.0 99.00
2011 01 05 20 50  72  9.0 10.4  1.71  5.56  4.64 999 1013.1  26.5  26.9  22.1 99.0 99.00
2011 01 05 21 50  73  8.7 10.1  1.60  5.56  4.40 999 1013.5  26.3  26.9  22.2 99.0 99.00
2011 01 05 22 50  73  8.8 10.5  1.74  5.26  4.60 999 1013.7  26.3  26.9  22.2 99.0 99.00
2011 01 05 23 50  70  8.9 10.5  1.66  5.88  4.55 999 1014.1  26.3  26.9  22.3 99.0 99.00
2011 01 06 00 50  71  9.1 10.6  1.64  5.26  4.33 999 1014.6  26.3  26.9  22.4 99.0 99.00
2011 01 06 01 50  70  8.1  9.5  1.65  5.56  4.55 999 1014.9  26.3  26.9  22.7 99.0 99.00
2011 01 06 02 50  79  9.3 11.9  1.77  5.26  4.56 999 1014.6  26.3  26.9  22.7 99.0 99.00
2011 01 06 03 50  69  8.9 10.6  1.66  5.56  4.41 999 1014.3  25.8  26.9  22.5 99.0 99.00
2011 01 06 04 50  68  8.2  9.6  1.55  5.26  4.48 999 1014.0  26.0  26.8  23.3 99.0 99.00
2011 01 06 05 50  76  9.1 11.7  1.72  4.76  4.40 999 1013.5  26.1  26.8  22.6 99.0 99.00
2011 01 06 06 50  72  8.6 10.4  1.72  5.56  4.60 999 1013.1  26.3  26.8  22.0 99.0 99.00
2011 01 06 07 50  71  8.8 10.5  1.65  5.26  4.53 999 1012.8  26.2  26.8  22.0 99.0 99.00
2011 01 06 08 50  78  8.9 10.5  1.69  5.88  4.52 999 1012.9  26.2  26.8  22.0 99.0 99.00
2011 01 06 09 50  78  8.4  9.9  1.56  5.26  4.32 999 1013.0  26.1  26.9  21.8 99.0 99.00
2011 01 06 10 50  75  8.4 10.0  1.61  5.56  4.50 999 1013.3  26.1  27.0  21.9 99.0 99.00
2011 01 06 11 50  79  7.8  9.1  1.53  5.56  4.44 999 1014.0  26.4  27.0  21.4 99.0 99.00
2011 01 06 12 50  77  8.1  9.5  1.50  5.26  4.47 999 1014.8  26.9  27.0  21.1 99.0 99.00
2011 01 06 13 50  80  7.5  9.3  1.58  5.56  4.55 999 1015.1  26.8  27.0  21.1 99.0 99.00
2011 01 06 14 50  80  7.7  9.3  1.39  5.56  4.34 999 1014.9  26.7  27.1  21.5 99.0 99.00
2011 01 06 15 50  78  7.4  8.6  1.47  5.88  4.47 999 1014.3  26.7  27.1  21.6 99.0 99.00
2011 01 06 16 50  87  6.6  8.2  1.42  5.56  4.44 999 1013.6  26.7  27.1  21.8 99.0 99.00
2011 01 06 17 50  82  6.1  7.2  1.32  5.56  4.45 999 1013.2  26.6  27.1  21.9 99.0 99.00
2011 01 06 18 50  84  6.3  7.4  1.44  5.56  4.57 999 1012.7  26.7  27.1  21.5 99.0 99.00
2011 01 06 19 50  92  6.1  7.3  1.44  5.00  4.57 999 1012.3  26.6  27.1  21.8 99.0 99.00
2011 01 06 20 50 100  5.8  6.9  1.32  5.00  4.56 999 1012.3  27.0  27.2  21.9 99.0 99.00
2011 01 06 21 50  94  6.1  7.5  1.39  4.76  4.60 999 1012.5  26.4  27.1  22.4 99.0 99.00
2011 01 06 22 50  91  6.7  7.7  1.26  5.26  4.50 999 1012.7  26.4  27.1  22.1 99.0 99.00
2011 01 06 23 50  90  6.2  7.1  1.22  5.00  4.45 999 1013.2  26.3  27.1  22.3 99.0 99.00
2011 01 07 00 50  91  7.0  8.3  1.24  5.26  4.54 999 1013.8  26.4  27.1  22.7 99.0 99.00
