#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 05 23 50 341  1.2  1.8  0.37  3.33  3.76 999 1011.2   2.8   6.0 999.0 99.0 99.00
2011 01 06 00 50 351  2.3  3.6  0.33 13.79  4.03 999 1011.0   2.9   6.0 999.0 99.0 99.00
2011 01 06 01 50 334  3.4  5.1  0.33 13.79  4.03 999 1010.6   3.0   6.1 999.0 99.0 99.00
2011 01 06 02 50  18  3.8  4.8  0.41  3.03  3.30 999 1010.3   2.5   6.1 999.0 99.0 99.00
2011 01 06 03 50  22  1.4  2.0  0.41  3.23  3.16 999 1010.3   2.4   6.0 999.0 99.0 99.00
2011 01 06 04 50   3  1.6  2.9  0.42 12.90  3.50 999 1009.8   2.3   5.9 999.0 99.0 99.00
2011 01 06 05 50  12  1.8  2.8  0.33  2.60  3.20 999 1009.1   2.2   5.8 999.0 99.0 99.00
2011 01 06 06 50  23  1.6  2.6  0.33 12.90  3.53 999 1008.7   2.2   5.8 999.0 99.0 99.00
2011 01 06 07 50  42  2.5  3.8  0.33 12.90  4.32 999 1008.3   2.1   5.7 999.0 99.0 99.00
2011 01 06 08 50  20  3.0  3.9  0.36  6.67  4.86 999 1007.5   2.0   5.7 999.0 99.0 99.00
2011 01 06 09 50  23  3.5  5.1  0.37 12.90  4.49 999 1006.9   2.0   5.7 999.0 99.0 99.00
2011 01 06 10 50  32  4.4  5.6  0.38 12.90  4.59 999 1006.6   2.0   5.9 999.0 99.0 99.00
2011 01 06 11 50  19  5.4  6.7  0.37  6.67  4.07 999 1006.1   2.0   5.9 999.0 99.0 99.00
2011 01 06 12 50  17  5.3  6.2  0.41  7.14  3.43 999 1006.3   2.0   6.0 999.0 99.0 99.00
2011 01 06 13 50  12  5.5  6.2  0.44  7.69  3.16 999 1006.4   1.9   6.1 999.0 99.0 99.00
2011 01 06 14 50   5  4.6  5.7  0.44  7.14  3.20 999 1006.4   1.8   6.2 999.0 99.0 99.00
2011 01 06 15 50 347  4.5  5.4  0.48  6.67  3.39 999 1006.2   1.6   6.3 999.0 99.0 99.00
2011 01 06 16 50 340  4.6  5.7  0.46  7.69  3.20 999 1005.2   1.2   6.3 999.0 99.0 99.00
2011 01 06 17 50 335  5.6  7.2  0.47  7.69  3.06 999 1004.4   1.3   6.3 999.0 99.0 99.00
2011 01 06 18 50 343  5.8  6.8  0.49  2.74  3.06 999 1003.7   1.2   6.2 999.0 99.0 99.00
2011 01 06 19 50 349  4.7  5.8  0.49  2.86  3.15 999 1004.0   1.3   6.2 999.0 99.0 99.00
2011 01 06 20 50   8  4.7  5.7  0.47  2.86  3.27 999 1003.7   1.5   6.1 999.0 99.0 99.00
2011 01 06 21 50   6  3.8  4.9  0.45  3.03  3.43 999 1003.3   1.6   6.0 999.0 99.0 99.00
2011 01 06 22 50 357  2.6  3.5  0.43 11.43  3.84 999 1003.0   1.6   5.9 999.0 99.0 99.00
2011 01 06 23 50 356  2.5  3.4  0.39  6.67  3.94 999 1003.4   1.7   5.8 999.0 99.0 99.00
2011 01 07 00 50 340  1.3  1.9  0.39 11.43  4.49 999 1003.2   1.6   5.5 999.0 99.0 99.00
2011 01 07 01 50 330  0.4  1.0  0.33 12.12  4.48 999 1002.9   1.6   5.2 999.0 99.0 99.00
2011 01 07 02 50 162  0.4  0.9  0.36 11.43  4.80 999 1002.6   1.6   5.1 999.0 99.0 99.00
2011 01 07 03 50 187  1.3  1.8  0.31 12.12  4.54 999 1002.1   1.8   5.1 999.0 99.0 99.00
2011 01 07 04 50 172  1.8  2.4  0.37 12.12  5.47 999 1001.1   2.0   5.2 999.0 99.0 99.00
2011 01 07 05 50 163  2.5  3.0  0.37 12.12  4.50 999 1000.0   2.3   5.2 999.0 99.0 99.00
